animeID, name, genre, type, episodes, studios, source, scored, scoredBy, members
1,Cowboy Bebop,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Space']",TV,26,['Sunrise'],Original,8.81,463582,924254
5,Cowboy Bebop: Tengoku no Tobira,"['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Space']",Movie,1,['Bones'],Original,8.4,132558,222007
6,Trigun,"['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Drama', 'Shounen']",TV,26,['Madhouse'],Manga,8.28,233183,458169
7,Witch Hunter Robin,"['Action', 'Magic', 'Police', 'Supernatural', 'Drama', 'Mystery']",TV,26,['Sunrise'],Original,7.32,34136,84940
8,Bouken Ou Beet,"['Adventure', 'Fantasy', 'Shounen', 'Supernatural']",TV,52,['Toei Animation'],Manga,7.02,5069,12297
15,Eyeshield 21,"['Action', 'Sports', 'Comedy', 'Shounen']",TV,145,['Gallop'],Manga,8.02,56520,126317
16,Hachimitsu to Clover,"['Comedy', 'Drama', 'Josei', 'Romance', 'Slice of Life']",TV,24,['J.C.Staff'],Manga,8.11,60516,186131
17,Hungry Heart: Wild Striker,"['Slice of Life', 'Comedy', 'Sports', 'Shounen']",TV,52,['Nippon Animation'],Manga,7.65,9796,18320
18,Initial D Fourth Stage,"['Action', 'Cars', 'Sports', 'Drama', 'Seinen']",TV,24,['A.C.G.T.'],Manga,8.18,49709,87160
19,Monster,"['Drama', 'Horror', 'Mystery', 'Police', 'Psychological', 'Seinen', 'Thriller']",TV,74,['Madhouse'],Manga,8.69,150252,456751
20,Naruto,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']",TV,220,['Studio Pierrot'],Manga,7.93,828329,1271800
21,One Piece,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",TV,,['Toei Animation'],Manga,8.53,536324,941750
22,Tennis no Ouji-sama,"['Action', 'Comedy', 'Sports', 'School', 'Shounen']",TV,178,['Trans Arts'],Manga,7.98,53581,122390
23,Ring ni Kakero 1,"['Action', 'Shounen', 'Sports']",TV,12,['Toei Animation'],Manga,6.49,888,3205
